"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder","Median Household Income (In 2017 Inflation Adjusted Dollars)","Housing Units","Occupied Housing Units:","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied","Population for Whom Poverty Status Is Determined:","Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)"
"42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","Census Tract 8.03, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008508",,,,,"42","101",,,,"000803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000803",,,"152820","0",3003,3003,50894.74,0.0590041343820898,3003,1166,1837,3003,69,29,112,15,267,1108,269,212,218,364,273,67,3003,2493,66,9,331,0,0,104,1837,483,420,63,0,63,1354,446,908,56307,2138,1837,651,1186,3003,322,208,530,2473
"42101000804","Census Tract 8.04, Philadelphia County, Pennsylvania","Census Tract 8.04, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008509",,,,,"42","101",,,,"000804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000804",,,"145453","0",4727,4727,84170.65,0.0561597196589328,4727,2375,2352,4727,97,34,0,0,378,1972,586,371,340,574,167,208,4727,3924,84,14,628,0,45,32,3085,871,793,78,14,64,2214,1134,1080,100914,3629,3085,863,2222,4727,386,245,631,4096
"42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","Census Tract 9.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008510",,,,,"42","101",,,,"000901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000901",,,"105510","0",1949,1949,47842.73,0.0407376404832764,1949,946,1003,1949,55,19,0,0,282,1007,172,86,162,77,89,0,1949,1452,87,0,346,0,18,46,1409,175,151,24,0,24,1234,627,607,42548,1665,1409,99,1310,1949,473,149,622,1327
"42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","Census Tract 9.02, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008511",,,,,"42","101",,,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000902",,,"155164","0",2653,2653,44283.71,0.0599091578802682,2653,1121,1532,2653,18,71,42,0,528,887,146,228,159,238,224,112,2653,1842,203,20,487,0,33,68,1315,341,328,13,0,13,974,383,591,45288,1448,1315,204,1111,2053,410,366,776,1277
"42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","Census Tract 10.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008512",,,,,"42","101",,,,"001001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001001",,,"229399","0",2572,2572,29038.7,0.0885714528407081,2572,1055,1517,2572,48,112,26,7,128,489,266,190,384,504,336,82,2572,2297,53,0,137,0,0,85,1450,615,574,41,0,41,835,237,598,99250,1566,1450,969,481,2572,151,176,327,2245
"42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","Census Tract 10.02, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008513",,,,,"42","101",,,,"001002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001002",,,"471662","0",3309,3309,18170.36,0.182109724060498,3309,1539,1770,3309,115,167,77,95,109,818,464,390,447,466,131,30,3309,3056,53,32,123,0,0,45,1692,766,674,92,28,64,926,330,596,109020,1943,1692,1022,670,3309,211,171,382,2927
"42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","Census Tract 11.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008514",,,,,"42","101",,,,"001101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001101",,,"174014","0",3762,3762,55992.82,0.0671871838788442,3762,1597,2165,3762,222,18,54,15,549,1453,252,314,410,345,111,19,3762,2997,310,0,304,0,52,99,1813,398,382,16,16,0,1415,697,718,72869,2161,1813,684,1129,3424,632,396,1028,2396
"42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","Census Tract 11.02, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008515",,,,,"42","101",,,,"001102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001102",,,"204062","0",2556,2556,32441.17,0.078788782032967,2556,1277,1279,2556,97,8,99,51,247,1114,339,303,141,128,29,0,2556,1915,191,0,387,0,0,63,1492,325,218,107,37,70,1167,554,613,75000,1651,1492,470,1022,2522,453,220,673,1849
"42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","Census Tract 12.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008516",,,,,"42","101",,,,"001201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001201",,,"327555","30728",4084,4084,32292.32,0.126469697929102,4084,1883,2201,4084,284,112,108,126,147,1077,720,389,583,337,164,37,4084,3518,25,83,299,19,6,134,2106,909,764,145,51,94,1197,419,778,103427,2232,2106,1153,953,4084,124,120,244,3840
"42101001202","Census Tract 12.02, Philadelphia County, Pennsylvania","Census Tract 12.02, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008517",,,,,"42","101",,,,"001202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001202",,,"308560","0",5080,5080,42640.46,0.119135687115153,5080,2451,2629,5080,206,105,65,48,566,1928,628,446,352,445,233,58,5080,4241,301,5,391,0,12,130,2793,774,642,132,62,70,2019,834,1185,77150,3032,2793,744,2049,4825,516,428,944,3881
"42101001300","Census Tract 13, Philadelphia County, Pennsylvania","Census Tract 13, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008518",,,,,"42","101",,,,"001300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001300",,,"727889","60713",6482,6482,23064.37,0.281039526051858,6482,3082,3400,6482,451,232,170,63,431,2217,777,682,703,413,207,136,6482,4059,1679,136,388,0,105,115,2734,1262,1013,249,39,210,1472,793,679,103147,3034,2734,1628,1106,6482,495,840,1335,5147
"42101001400","Census Tract 14, Philadelphia County, Pennsylvania","Census Tract 14, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008519",,,,,"42","101",,,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001400",,,"315832","0",4169,4169,34187.98,0.121943422131686,4169,2049,2120,4169,330,90,29,37,155,1312,864,407,377,327,41,200,4169,2678,946,0,353,0,130,62,2168,689,550,139,18,121,1479,594,885,87656,2451,2168,1095,1073,4144,556,386,942,3202
"42101001500","Census Tract 15, Philadelphia County, Pennsylvania","Census Tract 15, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008520",,,,,"42","101",,,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001500",,,"239383","0",2929,2929,31690.12,0.092426296955816,2929,1324,1605,2929,164,127,39,45,79,979,534,337,313,231,53,28,2929,1921,499,53,407,0,18,31,1497,489,320,169,30,139,1008,504,504,62107,1624,1497,686,811,2880,400,215,615,2265
"42101001600","Census Tract 16, Philadelphia County, Pennsylvania","Census Tract 16, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008521",,,,,"42","101",,,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001600",,,"196392","0",2261,2261,29817.73,0.0758273783507877,2261,1110,1151,2261,155,118,39,10,152,783,453,142,248,145,8,8,2261,2058,31,0,70,0,40,62,1082,427,377,50,9,41,655,230,425,95300,1273,1082,545,537,2261,161,92,253,2008
"42101001700","Census Tract 17, Philadelphia County, Pennsylvania","Census Tract 17, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008522",,,,,"42","101",,,,"001700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001700",,,"221530","0",2956,2956,34559.67,0.0855332148257058,2956,1481,1475,2956,228,237,85,8,87,811,603,261,344,185,78,29,2956,2416,239,0,18,0,110,173,1353,771,683,88,38,50,582,252,330,103036,1454,1353,780,573,2956,69,87,156,2800
"42101001800","Census Tract 18, Philadelphia County, Pennsylvania","Census Tract 18, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008523",,,,,"42","101",,,,"001800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001800",,,"242483","0",3272,3272,34948.6,0.0936232136982874,3272,1776,1496,3272,198,127,211,47,180,858,737,390,216,155,68,85,3272,2343,554,0,281,0,43,51,1486,662,516,146,26,120,824,507,317,87222,1632,1486,756,730,3272,213,269,482,2790
"42101001900","Census Tract 19, Philadelphia County, Pennsylvania","Census Tract 19, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008524",,,,,"42","101",,,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001900",,,"328327","0",3381,3381,26670.82,0.126767768808195,3381,1630,1751,3381,305,45,55,0,137,1296,667,356,333,162,25,0,3381,2110,1088,0,105,0,0,78,1472,667,409,258,67,191,805,298,507,83207,1654,1472,736,736,3381,379,370,749,2632
"42101002000","Census Tract 20, Philadelphia County, Pennsylvania","Census Tract 20, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008525",,,,,"42","101",,,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002000",,,"289368","0",2154,2154,19279.38,0.11172561417273,2154,1249,905,2154,108,76,66,66,317,527,146,309,280,172,68,19,2154,534,1489,5,32,0,16,78,853,370,134,236,74,162,483,351,132,41335,1085,853,515,338,2154,365,521,886,1268
"42101002100","Census Tract 21, Philadelphia County, Pennsylvania","Census Tract 21, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008526",,,,,"42","101",,,,"002100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002100",,,"237519","0",2280,2280,24861.9,0.0917066025016332,2280,1206,1074,2280,106,38,71,9,239,752,168,326,252,136,130,53,2280,734,1451,0,66,0,7,22,883,390,171,219,52,167,493,308,185,51250,1127,883,589,294,2280,541,408,949,1331
"42101002200","Census Tract 22, Philadelphia County, Pennsylvania","Census Tract 22, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008527",,,,,"42","101",,,,"002200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002200",,,"228696","0",2385,2385,27010.19,0.0883000230116896,2385,1190,1195,2385,183,182,60,70,139,854,339,267,144,96,51,0,2385,1076,1064,0,169,0,0,76,1063,380,172,208,22,186,683,402,281,60216,1334,1063,437,626,2348,577,437,1014,1334
"42101002300","Census Tract 23, Philadelphia County, Pennsylvania","Census Tract 23, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008528",,,,,"42","101",,,,"002300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002300",,,"212379","0",2930,2930,35731.71,0.0819999938223652,2930,1303,1627,2930,178,184,70,42,155,768,534,345,374,145,104,31,2930,2231,102,0,481,20,12,84,1248,562,393,169,78,91,686,278,408,53750,1374,1248,685,563,2930,220,1069,1289,1641
"42101002400","Census Tract 24, Philadelphia County, Pennsylvania","Census Tract 24, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008529",,,,,"42","101",,,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002400",,,"535421","0",5385,5385,26048.82,0.206727212635734,5385,2715,2670,5385,353,192,133,246,337,1916,705,605,366,245,209,78,5385,3895,506,0,815,0,86,83,2128,951,652,299,85,214,1177,575,602,65660,2528,2128,997,1131,5385,606,1223,1829,3556
"42101002500","Census Tract 25, Philadelphia County, Pennsylvania","Census Tract 25, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008530",,,,,"42","101",,,,"002500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002500",,,"398697","0",3955,3955,25692.2,0.153937778862296,3955,1664,2291,3955,390,103,183,65,149,1201,622,393,311,411,113,14,3955,2559,883,0,297,0,73,143,1707,848,511,337,78,259,859,376,483,61069,1935,1707,945,762,3946,582,822,1404,2542
"42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","Census Tract 27.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008531",,,,,"42","101",,,,"002701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002701",,,"224840","0",4414,4414,50845.96,0.0868112130249252,4414,2280,2134,4414,307,198,219,95,456,1370,624,548,235,108,223,31,4414,2361,887,0,1041,0,15,110,1422,724,407,317,116,201,698,438,260,50208,1736,1422,617,805,4414,1236,1103,2339,2075
"42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","Census Tract 27.02, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008532",,,,,"42","101",,,,"002702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002702",,,"367673","0",4336,4336,30543.96,0.141959344985382,4336,2239,2097,4336,280,211,99,145,227,1020,738,624,514,250,152,76,4336,3766,199,0,174,0,154,43,1780,777,536,241,90,151,1003,424,579,66176,1915,1780,1275,505,4336,518,790,1308,3028
"42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","Census Tract 28.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008533",,,,,"42","101",,,,"002801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002801",,,"222950","0",4832,4832,56132.86,0.0860814799141927,4832,2671,2161,4832,201,318,384,123,255,1620,737,468,330,210,121,65,4832,2203,289,114,1237,0,879,110,1577,945,558,387,244,143,632,278,354,44926,1859,1577,851,726,4794,871,1718,2589,2205
"42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","Census Tract 28.02, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008534",,,,,"42","101",,,,"002802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002802",,,"362690","0",5786,5786,41318.13,0.140035397847403,5786,2932,2854,5786,329,212,104,163,289,1599,795,706,781,344,238,226,5786,3958,12,0,1463,0,251,102,2133,1154,807,347,144,203,979,480,499,63523,2417,2133,1365,768,5786,345,1872,2217,3569
"42101002900","Census Tract 29, Philadelphia County, Pennsylvania","Census Tract 29, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008535",,,,,"42","101",,,,"002900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002900",,,"370217","0",4072,4072,28487.16,0.142941588918559,4072,2173,1899,4072,303,185,122,16,104,932,840,529,434,349,258,0,4072,3283,61,0,401,0,261,66,1778,987,775,212,134,78,791,411,380,52237,2124,1778,1135,643,4072,715,393,1108,2964
"42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","Census Tract 30.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008536",,,,,"42","101",,,,"003001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003001",,,"226547","0",4143,4143,47364.65,0.0874702894376345,4143,2185,1958,4143,284,141,177,77,459,924,719,492,345,235,190,100,4143,1875,714,0,1486,0,0,68,1446,796,538,258,105,153,650,354,296,47768,1805,1446,882,564,4135,1059,1036,2095,2040
"42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","Census Tract 30.02, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008537",,,,,"42","101",,,,"003002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003002",,,"226951","0",2951,2951,33677.11,0.0876262747163307,2951,1205,1746,2951,47,117,94,56,392,685,396,272,389,268,182,53,2951,788,1912,16,136,0,7,92,1233,566,262,304,41,263,667,213,454,32125,1574,1233,710,523,2951,537,740,1277,1674
