"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder","Median Household Income (In 2017 Inflation Adjusted Dollars)","Housing Units","Occupied Housing Units:","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied","Population for Whom Poverty Status Is Determined:","Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
"42101000100","Census Tract 1, Philadelphia County, Pennsylvania","Census Tract 1, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008499",,,,,"42","101",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000100",,,"704909","0",4155,4155,15266.37,0.27216689807057,4155,2024,2131,4155,99,35,64,30,348,1978,546,403,353,125,91,83,4155,2990,550,0,492,0,33,90,2367,717,580,137,29,108,1650,709,941,109738,2678,2367,713,1654,4155,292,385,677,3478
"42101000200","Census Tract 2, Philadelphia County, Pennsylvania","Census Tract 2, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008500",,,,,"42","101",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000200",,,"382478","0",2683,2683,18168.2,0.147675587686121,2683,1495,1188,2683,48,58,157,65,334,894,297,427,129,77,131,66,2683,698,142,16,1626,0,52,149,1010,503,414,89,47,42,507,238,269,30746,1128,1010,358,652,2558,962,631,1593,965
"42101000300","Census Tract 3, Philadelphia County, Pennsylvania","Census Tract 3, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008501",,,,,"42","101",,,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000300",,,"548342","356",3534,3534,16692.17,0.21171603883879,3534,1569,1965,3534,93,108,46,34,508,1110,494,365,289,247,141,99,3534,2603,170,0,540,18,0,203,1805,606,525,81,24,57,1199,537,662,84135,1957,1805,416,1389,3315,280,438,718,2597
"42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","Census Tract 4.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008502",,,,,"42","101",,,,"000401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000401",,,"214766","14981",2632,2632,31740.82,0.0829216197140682,2632,1277,1355,2632,68,0,0,0,147,1153,228,244,268,291,221,12,2632,1575,310,0,667,0,9,71,1690,489,479,10,0,10,1201,599,602,59221,1986,1690,491,1199,2632,486,240,726,1906
"42101000402","Census Tract 4.02, Philadelphia County, Pennsylvania","Census Tract 4.02, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008503",,,,,"42","101",,,,"000402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000402",,,"303680","0",3299,3299,28136.1,0.117251508501198,3299,1362,1937,3299,29,0,16,15,76,915,318,413,319,672,318,208,3299,2807,193,0,263,0,0,36,2483,521,476,45,0,45,1962,743,1219,72866,3023,2483,1493,990,3299,141,404,545,2754
"42101000500","Census Tract 5, Philadelphia County, Pennsylvania","Census Tract 5, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008504",,,,,"42","101",,,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000500",,,"428783","0",2514,2514,15185.37,0.165554048899068,2514,1426,1088,2514,35,0,0,0,402,1205,436,207,133,74,17,5,2514,1096,877,19,422,0,36,64,933,160,132,28,0,28,773,425,348,42135,997,933,42,891,1539,536,151,687,852
"42101000600","Census Tract 6, Philadelphia County, Pennsylvania","Census Tract 6, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008505",,,,,"42","101",,,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000600",,,"172655","0",1207,1207,18106.14,0.0666624710230318,1207,621,586,1207,42,32,22,0,182,484,153,124,81,72,7,8,1207,971,86,0,126,0,22,2,674,114,92,22,6,16,560,262,298,77500,805,674,38,636,1024,142,48,190,834
"42101000700","Census Tract 7, Philadelphia County, Pennsylvania","Census Tract 7, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008506",,,,,"42","101",,,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000700",,,"246682","7087",3451,3451,36233.08,0.0952444567310737,3451,1627,1824,3451,52,16,0,17,415,1588,178,476,248,280,146,35,3451,2220,539,0,614,8,0,70,2429,318,318,0,0,0,2111,901,1210,51830,2826,2429,604,1825,3434,640,430,1070,2364
"42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","Census Tract 8.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0008507",,,,,"42","101",,,,"000801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000801",,,"99958","12755",1407,1407,36456.44,0.0385940012077276,1407,866,541,1407,91,18,30,0,140,699,159,82,77,75,36,0,1407,1174,134,0,83,0,6,10,797,173,164,9,9,0,624,380,244,94821,997,797,223,574,1407,195,68,263,1144
